Locality,Yes,No
Barnstable,12432,13463
Bourne,5273,5583
Brewster,3221,3468
Chatham,1928,2611
Dennis,4237,5028
Eastham,1876,1783
Falmouth,9640,10290
Harwich,4002,4461
Mashpee,4126,4749
Orleans,2229,2297
Provincetown,1717,537
Sandwich,5849,6846
Truro,963,546
Wellfleet,1431,764
Yarmouth,6227,7748
Adams,2287,1714
Alford,189,98
Becket,690,338
Cheshire,1039,824
Clarksburg,448,392
Dalton,1745,1671
Egremont,537,285
Florida,200,165
Great Barrington,2364,1323
Hancock,207,173
Hinsdale,605,460
Lanesborough,1016,705
Lee,1671,1353
Lenox,1601,1404
Monterey,330,192
Mount Washington,68,34
New Ashford,101,52
New Marlborough,532,290
N. Adams,3531,2172
Otis,525,367
Peru,306,204
Pittsfield,11646,8293
Richmond,568,424
Sandisfield,299,155
Savoy,214,163
Sheffield,1124,693
Stockbridge,767,502
Tyringham,154,131
Washington,190,126
W. Stockbridge,541,347
Williamstown,2160,1387
Windsor,300,218
Acushnet,2803,2684
Attleboro,11771,8918
Berkley,1974,1649
Dartmouth,8830,7359
Dighton,2165,1863
Easton,5929,6887
Fairhaven,4692,3817
Fall River,16341,12336
Freetown,2654,2360
Mansfield,6822,6385
New Bedford,18391,13647
N. Attleborough,8230,6953
Norton,5312,4425
Raynham,3711,3945
Rehoboth,3678,3149
Seekonk,3960,3740
Somerset,5223,4734
Swansea,4593,3984
Taunton,13191,10450
Westport,4783,4270
Aquinnah,205,71
Chilmark,525,217
Edgartown,1672,1061
Gosnold,40,27
Oak Bluffs,1844,1122
Tisbury,1721,862
W. Tisbury,1578,590
Amesbury,5440,3838
Andover,8918,10406
Beverly,12173,9899
Boxford,2479,2681
Danvers,7313,8037
Essex,1253,962
Georgetown,2570,2470
Gloucester,9484,6869
Groveland,2089,1971
Hamilton,2314,2374
Haverhill,16176,13158
Ipswich,4641,4138
Lawrence,9959,13756
Lynn,17524,15515
Lynnfield,3030,4572
Manchester-by-the-Sea,1814,1772
Marblehead,6677,6262
Merrimac,2136,1742
Methuen,11050,11869
Middleton,2371,2734
Nahant,1260,1081
Newbury,2509,2072
Newburyport,6244,5098
N. Andover,7573,8596
Peabody,12780,14980
Rockport,2631,2257
Rowley,1931,1927
Salem,13046,8636
Salisbury,2703,2043
Saugus,6710,7652
Swampscott,4669,4048
Topsfield,1750,2309
Wenham,1139,1303
W. Newbury,1530,1425
Ashfield,763,341
Bernardston,681,548
Buckland,626,427
Charlemont,448,252
Colrain,554,348
Conway,782,415
Deerfield,1684,1373
Erving,501,323
Gill,552,392
Greenfield,5242,3277
Hawley,120,79
Heath,241,203
Leverett,896,343
Leyden,278,201
Monroe,43,16
Montague,2774,1613
New Salem,366,226
Northfield,937,803
Orange,1890,1463
Rowe,120,107
Shelburne,732,435
Shutesbury,929,309
Sunderland,1241,686
Warwick,290,165
Wendell,460,121
Whately,553,443
Agawam,7197,7435
Blandford,407,299
Brimfield,1113,993
Chester,399,289
Chicopee,12764,10962
E. Longmeadow,4225,4935
Granville,510,433
Hampden,1401,1524
Holland,814,534
Holyoke,9409,7136
Longmeadow,4294,5144
Ludlow,4837,5225
Monson,2664,1947
Montgomery,268,232
Palmer,3414,2675
Russell,459,334
Southwick,2651,2604
Springfield,30689,22841
Tolland,163,140
Wales,610,388
W. Springfield,5814,6239
Westfield,9819,9018
Wilbraham,3620,4727
Amherst,11024,3742
Belchertown,4652,3665
Chesterfield,469,262
Cummington,365,177
Easthampton,6009,3637
Goshen,366,250
Granby,1941,1689
Hadley,1764,1499
Hatfield,1110,1010
Huntington,723,450
Middlefield,181,116
Northampton,11437,4995
Pelham,658,245
Plainfield,261,139
S. Hadley,4779,4445
Southampton,1912,1880
Ware,2491,1924
Westhampton,626,487
Williamsburg,1086,601
Worthington,463,286
Acton,6641,6097
Arlington,15245,11436
Ashby,1113,738
Ashland,4773,4416
Ayer,2399,1706
Bedford,3732,4194
Belmont,7585,6868
Billerica,11505,10506
Boxborough,1533,1490
Burlington,6303,7662
Cambridge,36636,14543
Carlisle,1720,1556
Chelmsford,9911,10242
Concord,5725,5532
Dracut,8313,7840
Dunstable,1083,929
Everett,6552,6864
Framingham,15866,13419
Groton,3798,2952
Holliston,4570,4123
Hopkinton,4444,4814
Hudson,5560,5119
Lexington,8590,9565
Lincoln,2088,1799
Littleton,3233,2713
Lowell,19896,15627
Malden,11866,10004
Marlborough,9416,8536
Maynard,3564,2458
Medford,17008,12630
Melrose,8595,8077
Natick,10674,9067
Newton,25516,20796
N. Reading,4168,4865
Pepperell,3721,3046
Reading,6912,8476
Sherborn,1309,1387
Shirley,1997,1420
Somerville,30099,9684
Stoneham,6121,6886
Stow,2377,2052
Sudbury,5291,5518
Tewksbury,8518,8807
Townsend,2903,2258
Tyngsborough,3562,3200
Wakefield,7381,8179
Waltham,14382,11870
Watertown,11005,7201
Wayland,4268,4189
Westford,6645,7232
Weston,2920,3673
Wilmington,6583,6820
Winchester,5503,7262
Woburn,10093,10343
Nantucket,4084,2320
Avon,1235,1206
Bellingham,5036,3859
Braintree,9251,10985
Brookline,17803,11066
Canton,6000,6851
Cohasset,2178,2804
Dedham,7171,7142
Dover,1579,2044
Foxborough,5011,5226
Franklin,9204,8994
Holbrook,2883,2781
Medfield,3424,4207
Medway,4184,3498
Millis,2594,2401
Milton,7259,8772
Needham,8203,9964
Norfolk,2978,3083
Norwood,7409,8336
Plainville,2648,2286
Quincy,21220,20279
Randolph,7423,7177
Sharon,5469,4886
Stoughton,7195,6932
Walpole,6381,8296
Wellesley,6331,8714
Westwood,3895,5445
Weymouth,14624,14775
Wrentham,3295,3424
Abington,4627,4158
Bridgewater,6401,6559
Brockton,17761,16624
Carver,3361,2917
Duxbury,4330,5655
E. Bridgewater,4078,3843
Halifax,2357,2093
Hanover,3620,5085
Hanson,3061,3010
Hingham,6135,8482
Hull,3782,2616
Kingston,3725,3914
Lakeville,3170,3250
Marion,1631,1617
Marshfield,7774,7947
Mattapoisett,2073,2200
Middleborough,6554,5933
Norwell,3045,3659
Pembroke,5179,5320
Plymouth,16981,15671
Plympton,951,798
Rochester,1756,1645
Rockland,5024,4453
Scituate,5681,6262
Wareham,6490,4826
W. Bridgewater,2052,2108
Whitman,4340,3634
Boston,166697,99628
Chelsea,4921,3985
Revere,9197,10228
Winthrop,5072,4435
Ashburnham,1918,1445
Athol,2828,2166
Auburn,4718,4612
Barre,1668,1225
Berlin,1051,867
Blackstone,2670,1908
Bolton,1738,1574
Boylston,1400,1419
Brookfield,1017,793
Charlton,3762,3466
Clinton,4009,3107
Douglas,2795,2116
Dudley,2804,2621
E. Brookfield,614,581
Fitchburg,8776,6664
Gardner,4787,3815
Grafton,5320,4874
Hardwick,762,647
Harvard,1958,1776
Holden,5461,5860
Hopedale,1804,1651
Hubbardston,1539,1192
Lancaster,1987,1990
Leicester,3056,2694
Leominster,10014,9545
Lunenburg,3377,2971
Mendon,1849,1690
Milford,6968,6441
Millbury,3819,3370
Millville,955,646
New Braintree,329,275
N. Brookfield,1461,1100
Northborough,4440,4531
Northbridge,4217,4103
Oakham,616,504
Oxford,3806,3139
Paxton,1235,1446
Petersham,466,329
Phillipston,611,412
Princeton,1290,1039
Royalston,385,288
Rutland,2415,2469
Shrewsbury,8324,10508
Southborough,2789,3223
Southbridge,3801,3013
Spencer,3089,2693
Sterling,2468,2544
Sturbridge,2821,2610
Sutton,2799,2864
Templeton,2143,1875
Upton,2541,2083
Uxbridge,4201,3520
Warren,1334,1025
Webster,4007,3252
W. Boylston,2084,2262
W. Brookfield,1113,965
Westborough,4561,5044
Westminster,2323,2262
Winchendon,2735,1823
Worcester,35305,29050
